Source,Summary
[CLS] What should I do to get things done alone? [SEP] How can one get things done?,1
[CLS] Where can I buy fashionable clothes? [SEP] Where can I buy fashionable clothes in Kolkata for women?,0
"[CLS] If atheists don't believe in gods, then what do they think the universe is? [SEP] If atheists don't believe in God, but aren't sure he doesn't exist, what do they think caused the universe?",1
[CLS] What are the legitimate ways to earn money online? [SEP] What are the best legitimate methods to making money online?,1
[CLS] Is a B.A. or a B. Com. degree enough to apply for Juris Doctor (JD) Law degrees in the USA? [SEP] Is a BA or BCom degree enough to apply for Juris Doctor (JD) law degrees in the USA?,1
[CLS] Will artificial intelligence take over the human workforce? [SEP] What are good examples of Human-Artificial Intelligence cooperation?,0
[CLS] What is the song played in the club scene in movie creative control? [SEP] What song plays in the final scene of the movie Trolls (2016)?,0
[CLS] Why does Bill Clinton have a long history of rape accusations? [SEP] How many total women have accused Bill Clinton of rape?,0
[CLS] Why do the majority of cars in the United States have automatic transmissions? [SEP] Do more cars in Australia have manual or automatic transmissions?,0
[CLS] What is the silliest question to ask? [SEP] What are some of the silliest Quora questions?,0
"[CLS] Is it bad for you to watch videos of microwaves? Microwaves themselves are not healthy, but there are no affects of watching a video of one, right? [SEP] Where is Bill Stachour?",0
[CLS] Is there a way to broadcast on Facebook live without the screen mirroring? [SEP] What is a way to create a Facebook page without name?,0
[CLS] What are similar books to Harry Potter? [SEP] What are some books like Harry Potter?,1
[CLS] Harvard College Courses: What is general shopping advice for Classics classes? [SEP] Harvard College Courses: What is general shopping advice for Classical Archaeology classes?,0
[CLS] What are the best ways to lose weight? [SEP] How should I loose weight?,1
[CLS] What is best way to make money online? [SEP] What are ways of earning money online?,1
[CLS] Is Charlie Charlie real? [SEP] What is the truth behind the Charlie Charlie Challenge?,0
[CLS] How should I unsubscribe from amulyam emails? [SEP] How do I delete my Quora account?,0
[CLS] What is the fastest way to lose weight successfully? [SEP] What is the easiest way to lose weight faster?,1
[CLS] Have you ever experienced yourself benefits of castor oil on your hairfall? [SEP] Have you experienced yourself the benefits of castor oil on your hairfall?,1
[CLS] Who is the most racist person in the world? [SEP] What are the most memorable one-liners in U.S. political history?,0
[CLS] I joined ace acdemy in july upto when the course wil be over and what sequence of subjects they follow while completing syllabus? [SEP] I am not clear about the syllabus and optional subjects. What is the complete book list and no. of optional to choose?,0
[CLS] Do you think love can really change a person? [SEP] Life Advice: How do I change into a person I love to be?,0
[CLS] What does a dog think? [SEP] What do dogs think cars are?,0
[CLS] Are there people who had successful long distance relationships? Can you tell me about your successful experience with long distance relationship? [SEP] What is the secret of keeping a successful long distance relationship?,1
[CLS] What are zero sum games? [SEP] What is a zero sum game?,1
[CLS] What will be the effects of demonitizing 500 and 1000 rupees notes in Indian economy? [SEP] How will the ban of 1000 and 500 rupee notes affect the Indian economy?,1
"[CLS] Trello (product): How do I merge two cards? [SEP] How ""large"" are your cards in Trello in terms of amount of work involved\time required?",0
[CLS] What would have happened if Germany had invaded Britain in May 1940? [SEP] How might World War II have ended differently if Germany had won the Battle of Britain and successfully occupied Britain?,0
"[CLS] What's the difference between a slut, a ho, and a whore? [SEP] What's the difference between s & 's at the end of a word?",0
[CLS] Do you how do you get meth out of your system? [SEP] How do I get meth out of my system from smoking it instantly?,1
[CLS] Is there a Wikipedia article covering all the tools used in web development? [SEP] Is there a wikipedia article covering all web development techniques used?,0
[CLS] Are the new 500 rs and 2000 rs Indian currency notes really chip-based? [SEP] Will the new Rs 2000 notes carry a nano GPS chip? Will it really Help?,1
"[CLS] If the president is impeached, who assumes the office? [SEP] What are the chances that the next president will be impeached?",0
[CLS] How do I become a good problem solver? [SEP] How can I be a fast problem solver?,1
[CLS] Where can I learn Falconry in Europe? [SEP] Where can I learn falconry in India?,0
[CLS] Which is the best anti virus for smartphones? [SEP] Which is the best anti virus software for mobile?,1
[CLS] Why isn't Russia a member of NATO? [SEP] Why does Russia not join NATO?,1
[CLS] What is the best way to avoid questions needing improvement on Quora? [SEP] What are the 3 best things you would recommend to improve your questions on Quora?,1
[CLS] How do I earn from Quora? [SEP] How can I earn money on Quora?,1
[CLS] What places should I visit during my visit to Kerala during July? [SEP] What are the places to visit in Kerala during September last and October 1st?,1
[CLS] How can a high schooler start research in computer science? [SEP] What are some good high school computer science research projects I can do?,1
[CLS] What is best adventure list? [SEP] What are the best adventures to go on as a couple? Why?,0
[CLS] How accurate is the Myers-Briggs personality test? [SEP] How accurate is the Myers Briggs personality test?,1
[CLS] What are good gifts for a foreign visitor to bring when they're invited to someone's home in Kuwait for the first time? [SEP] What are good gifts for a foreign visitor to bring when they're invited to someone's home in Pakistan for the first time?,0
[CLS] Who is the inventor of accounts? [SEP] Who is the inventor of the engine?,0
"[CLS] I am running one SQL select script in Oracle (Toad) by joining four tables, which ran good until yesterday. Today, the select statement is running for a long time and I can't see the result, it's just running. What is the issue? [SEP] How can I solve the problem ""missing right parenthesis"" in SQL?",0
"[CLS] What were the most creative, successful and daring intelligence operations, involving deception, after 1980? [SEP] I'm a dual US-Italian citizen, if I change my name in the US does it change in Italy?",0
[CLS] How do Quora's algorithm works? [SEP] How does the Quora algorithm work?,1
"[CLS] What is the song ""Kashmir"" by Led Zeppelin about? [SEP] What is the song “Stairway to Heaven” by Led Zeppelin about?",0
[CLS] Which famous Japanese-peoples are on Quora? [SEP] Which famous French-peoples are on Quora?,0
[CLS] Do laws against hate speech legally override and suppress our right to free speech? [SEP] How can Hate Speech laws be reconciled with Free Speech rights?,0
[CLS] How are potato chip bags made? [SEP] How are potato chips made?,0
[CLS] What would you do if your bf/gf came out to you as being genderfluid and thus having both genders (not physically) when you're straight? [SEP] What would you do?,0
[CLS] Which song gives you goosebumps when you hear it? [SEP] What is that song which gives you goosebumps?,1
[CLS] What sites are similar to fuskator.com? [SEP] What are some sites similar to faceinhole.com?,0
[CLS] Is there any reputable online Product Management course? [SEP] What's a good Agile project/product management online course?,0
"[CLS] Why does the U.S. oppose the ruling by the UN International Court of Justice but support the ruling by the Permanent Court of Arbitration? [SEP] Why does the U.S. recognise the Private & Black Box Operated Arbitration as an International law, but oppose the UN International Court of Justice?",0
[CLS] Is time travel a paradox in and of itself? [SEP] What is Time paradox?,0
[CLS] What is your review of The Dictator (2012 movie)? [SEP] How old do I have to be to see The Dictator?,0
"[CLS] Do you believe in God? If you do/don’t, why? [SEP] Do you believe in God? Why, or why not?",1
[CLS] Will Obama be seen as a worse or better president than Bill Clinton? [SEP] Will President Obama's legacy be looked upon more fondly than President Bill Clinton’s?,1
[CLS] How do I track my Amazon order? [SEP] Where and how can I track my Amazon order?,1
[CLS] Which is the English song with best lyrics according to you? [SEP] What English song has the best and most meaningful lyrics?,1
[CLS] What does an antelope sound like? [SEP] Can sound be seen?,0
[CLS] Is Monica Belucci related to Belushi families house? [SEP] I'm moving to Santa Monica from Sweden: What should I know?,0
[CLS] How will Trump's presidency affect Indian students who are planning to do a PhD in the US? [SEP] How will Trump's presidency affect the Indian students who are planning to study in the US?,1
"[CLS] What will happen if I stop eating added sugar for a year? [SEP] What happens if I stop smoking, driking coffee and eating sugar for a month?",0
[CLS] What happens to dairy cows when they are too old to give milk? Are they then turned into hamburger cows? [SEP] How much food is needed to feed milking cows?,0
[CLS] How I start preparation of ies? [SEP] How can I start preparing for IES/GATE?,1
[CLS] Can I be arrested for downloading from torrents in India? [SEP] Can I be arrested for downloading torrent?,0
[CLS] How can I be good at sex? [SEP] How can you be good at sex?,1
[CLS] Why is Hong Kong dying? [SEP] Is Hong Kong ugly?,0
[CLS] What is grey market in ipo? [SEP] What is IPO Grey market in India?,1
[CLS] How well do Tesla cars drive in ice and snow? [SEP] Will Tesla eventually make slow cars?,0
[CLS] Is impact factor of 3.6 can be considered good for an Indian journal? [SEP] How do you interpret impact factor of journals?,0
[CLS] How do I get rid of a paranoid? [SEP] How do I get rid of the paranoid attitude?,1
[CLS] Does the Israel satellite launch disprove NASA? [SEP] Does NASA even consider high tides for launches?,0
[CLS] Who is the best Bulk SMS service provider in Telangana? [SEP] Who is the best Bulk SMS service provider in Nepal?,0
[CLS] Why is committing suicide illegal? [SEP] Why is suicide illegal?,1
[CLS] How do you know if someone is a psychopath or a sociopath right from the get-go? [SEP] How would you tell if someone is a psychopath or a sociopath?,1
[CLS] Is Narendra Modi a better Prime Minister than Manmohan SIngh? [SEP] Who is better Narendra Modi or Manmohan Singh?,1
[CLS] How can I get rid of social anxiety by myself? [SEP] What is the best way to get rid of social anxiety?,1
[CLS] Will hardwork really pays off? [SEP] Does hardwork really pay?,1
"[CLS] Do trafalgar tours owns its buses? [SEP] Can a person live healthfully off of nothing but salad and cage free eggs? If so, what would the salad have to consist of?",0
[CLS] I am getting electrical in IITB and C.S. in IITD. Which should I choose? [SEP] I am getting electrical in MANIT. How can I get any stream in MNIT?,0
"[CLS] Since Voldemort never told anyone about his Horcruxes, how did Regulus Black discover his secret? [SEP] How was it possible for Voldemort to be alive when his Horcruxes were destroyed?",0
[CLS] What is a small private open online course? [SEP] What is the Best private tracker open now?,0
[CLS] Is it normal to be scared of pursuing my dream (of doing research) when I can easily get a government job? What should I do? [SEP] What are some career paths/track I should pursue to achieve my dream job of being a Fortune 500 CFO?,0
[CLS] What advice or tips would you give to a first year IIT student? [SEP] What advice or tips would you give to a first year BITS Pilani student?,0
[CLS] What is pinch roll? [SEP] What is B-roll in Hindi?,0
[CLS] What are the best things to do in life? [SEP] What is the best thing to do to improve life?,1
[CLS] How can I become a billionaire in mindset? [SEP] How can I become a billionaire (in finance)?,1
[CLS] What is the Indian government doing to control population growth? [SEP] Why isn't anything done about India's population growth?,1
[CLS] How does demon possession happen? [SEP] Is there scientific evidence of demons and demonic possession?,0
[CLS] What is the goal of Quora? [SEP] What is your goal?,0
[CLS] How can we get job in Canada? [SEP] What is the easiest way to get an IT Job in Canada?,0
[CLS] How do I change my SBI register mobile number? [SEP] State Bank of India (SBI): What should I do to change the mobile number to which my State Bank of India OTP password is sent?,0
[CLS] How can you speak and learn fluent English like Karan Johar? [SEP] How can I speak fluent English with accuracy?,1
[CLS] What are the best wireless earphones? [SEP] What are you recommendations for decent wireless earphones?,1
[CLS] Work Visas: How long does it take to get a labor certificate or I-140 during the EB2 Green Card process? [SEP] How can I get green card? I have F2 visa.,0
"[CLS] I've finished learning HTML, CSS, and JavaScript. What should I learn now? [SEP] I've finished learning HTML, CSS, and JavaScript basic. What should I learn now?",1
[CLS] What is the angle between the hour hand and the minute hand at 12:30 PM? [SEP] What is the angle between the minute hand and the hour hand at 11:59?,0
[CLS] Why does Android Studio take up more memory (RAM) in a Windows OS? [SEP] Can I install Android OS on a Windows phone?,0
