Source,Summary
"[CLS] Video replays suggested the ball had hit the ground before making contact with Sangakkara's foot. [SEP] Television replays, though, showed the ball had touched the ground before Sangakkara's boot (262 for 4).",1
"[CLS] The 244th Engineer Battalion has been clearing rubble, building playgrounds and restoring irrigation in Iraq, the military said. [SEP] The battalion has been clearing rubble, building playgrounds and restoring irrigation in Iraq, military officials told The Associated Press.",1
"[CLS] ""The law has several weaknesses which terrorists could exploit, undermining our defenses,"" Ashcroft said. [SEP] He admits that the law ""has several weaknesses which terrorists could exploit, undermining our defenses.""",1
"[CLS] She said the store ordered 520 copies and reserved another 300. [SEP] In one Johannesburg store, 900 copies have been ordered.",0
"[CLS] Ms Pike also said it was not unusual for hospitals to go into deficit, but the Government would ensure they remained viable. [SEP] But Ms Pike said it was not unusual for hospitals to go into deficit and promised services would not be curtailed.",1
"[CLS] Linda Saunders pleaded guilty in federal court to six charges, including extortion, money laundering and conspiracy. [SEP] Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.",0
"[CLS] ""But that does not clear them of the obligation to do everything possible to protect civilians, and that is not what we're seeing."" [SEP] ""But that does not clear them of the responsibility to do everything possible to minimize civilian harm.""",0
"[CLS] Sunnis make up 77 percent of Pakistan's population, Shiites 20 percent. [SEP] About 80 percent of Pakistan's 140 million people are Sunnis.",0
[CLS] Bush already is halfway to his goal of raising $150 million to $170 million for next year's primaries. [SEP] He is roughly halfway to his goal of raising between $150 million and $170 million in the primaries.,1
"[CLS] Wal-Mart estimates more than 100 million Americans visit their stores every week. [SEP] Each week 138 million shoppers visit Wal-Mart's 4,750 stores.",1
[CLS] He planned Monday to formally announce the effort alongside several union presidents. [SEP] He plans to announce the effort formally tomorrow in Cincinnati alongside several union presidents.,1
"[CLS] Justices said that the Constitution allows the government to administer drugs only ""in limited circumstances."" [SEP] In a 6-3 ruling, the justices said such anti-psychotic drugs can be used only in ""limited circumstances.""",1
"[CLS] In a statement, Microsoft said the dividend is payable Nov. 7 to shareholders of record on Oct. 17. [SEP] The dividend, the company's second this calendar year, is payable on Nov. 7 to shareholders of record at the close of business Oct. 17.",1
"[CLS] ""PeopleSoft has consistently maintained that the proposed combination of PeopleSoft and Oracle faces substantial regulatory delays and a significant likelihood that the transaction would be prohibited."" [SEP] PeopleSoft has argued that an Oracle takeover would face substantial regulatory delays and a significant likelihood that the transaction would be prohibited.",1
"[CLS] Its shares fell 71 cents, or 3.5 percent, in after-hours trading to $19.55. [SEP] The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.",0
"[CLS] Yesterday, Taiwan reported 35 new infections, bringing the total number of cases to 418. [SEP] The island reported another 35 probable cases yesterday, taking its total to 418.",1
"[CLS] The nine largest airlines had $75.4 billion in revenue last year. [SEP] Since Sept. 11, 2001, the six largest airlines have lost a combined $18 billion.",0
[CLS] The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed. [SEP] The British Foreign Office said it had mediated the two men's release.,0
"[CLS] ""By its actions, the Bush administration threatens to give a bad name to a just war,"" Lieberman said. [SEP] ""By its actions, the Bush administration threatens to give a bad name to a just war,"" the Connecticut Democrat told a Capitol Hill news conference.",1
"[CLS] Rescue and search operation had been going on since the tragedy happened on Thursday night, Manali Sub-Divisional Magistrate Raj Kumar Gautam told Times News Network. [SEP] Rescue and search operation was on to find them, Manali Sub-Divisional Magistrate Raj Kumar Gautam told Times News Network.",0
"[CLS] In an E-mail statement to the Knoxville News Sentinel, Shumaker said, ''I am not giving any consideration to resignation. [SEP] I am not giving any consideration to resignation,"" Shumaker said in a statement.",1
"[CLS] ""The idea that Tony Abbott is in some way a one-dimensional political head-kicker couldn't be more wrong,"" Mr Howard said. [SEP] ""The idea that Tony Abbott is in some way a one-dimensional political head kicker couldn't be more wrong.""",1
"[CLS] ""It's hard to believe that we live in a society where parents wouldn't be notified of an abortion, which is a very profound decision."" [SEP] ""It's hard to imagine we live in a society where parents wouldn't be notified of an abortion,"" Bush said.",0
"[CLS] A Florida grand jury investigating pharmaceutical wholesalers indicted 19 people on charges of peddling bogus or diluted medications often prescribed for cancer and AIDS patients, authorities said yesterday. [SEP] A Florida grand jury indicted 19 people for contaminating and diluting prescription drugs desperately needed by AIDS and cancer patients in a multimillion-dollar scheme, prosecutors said Monday.",0
"[CLS] ""These foods have an almost identical effect on lowering cholesterol as the original cholesterol-lowering drugs."" [SEP] We have now proven that these foods have an almost identical effect on lowering cholesterol as the original cholesterol-reducing drugs.",1
"[CLS] Ex-KGB agent Putin added that the Beatles were considered 'propaganda of an alien ideology'. [SEP] In Soviet times the Beatles' music ""was considered propaganda of an alien ideology.",1
"[CLS] The officials did not say whether U.S. forces crossed into Syrian territory and were vague about how the Syrian border guards became involved. [SEP] U.S. officials did not say whether American forces, who were acting on intelligence, crossed into Syrian territory and were vague about how the Syrian guards were involved.",1
"[CLS] Still, he said, ""I'm absolutely confident we're going to have a bill."" [SEP] ""I'm absolutely confident we're going to have a bill,"" Frist, R-Tenn., said Thursday.",1
"[CLS] Many women complain that they become more forgetful around the time of menopause, and some doctors believe that hormonal changes are the reason. [SEP] Many women complain that they become more forgetful after menopause, and some doctors have come to believe the hormonal changes brought on by menopause are the reason.",1
"[CLS] Excluding the charges, analysts, on average, expected a loss of 11 cents a share. [SEP] Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.",0
"[CLS] Its chief executive, Lawrence J. Lasser, resigned under pressure last Monday. [SEP] On Monday, Putnam said chief executive Lawrence J. Lasser had resigned.",1
"[CLS] ""We need the somebody who notices them to come forward,"" he told a news conference to introduce his successor, Brig. Gen. Mastin M. Robeson. [SEP] ""We need the somebody who notices them to come forward,"" he said at a news conference in which he introduced his successor, Brig. Gen. Mastin M. Robeson.",1
[CLS] The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent. [SEP] The Swedish central bank cut interest rates by 50 basis points to 3.0 percent.,0
"[CLS] Robert Walsh, 40, remained in critical but stable condition Friday at Staten Island University Hospital's north campus. [SEP] Walsh, also 40, was in critical but stable condition at Staten Island University Hospital last night.",1
"[CLS] Several states and the federal government later passed similar or more strict bans. [SEP] Following California's lead, several states and the federal government passed similar or tougher bans.",0
"[CLS] The decision came a year after Whipple ended federal oversight of the district's racial balance, facilities, budget, and busing. [SEP] The decision came a year after Whipple ended federal oversight of school busing as well as the district's racial balance, facilities and budget.",1
[CLS] Netanyahu and his advisers say the changes are necessary to permit Israel to compete successfully in the global marketplace and attract investment. [SEP] The government says the changes are necessary if Israel is to compete successfully in the global marketplace and attract investment.,1
"[CLS] Less than a month after departing her anchor's chair at ""Dateline NBC,"" Jane Pauley has signed a new deal with NBC to host a syndicated daytime talk show. [SEP] Less than a month after leaving as host of ""Dateline NBC,"" Pauley agreed Thursday to launch a daytime talk show for NBC Enterprises.",1
"[CLS] Police said the suspected Marriott suicide bomber was Asmar Latin Sani, 28, from the island of Sumatra. [SEP] A sibling also identified Sani, 28, who was from the island of Sumatra, police said.",0
"[CLS] None of the Prairie Plant Systems marijuana can be distributed until the document is made available, she said. [SEP] None of Prairie Plant's marijuana can be distributed until the Health Canada's user manual is made available, she said.",1
"[CLS] ""The bank requires growth from elsewhere in the economy and needs the economy to rebalance,"" he said in an interview with the Press Association news agency. [SEP] The Bank of England ""requires growth from elsewhere in the economy and needs the economy to rebalance,"" he told the Press Association news agency.",1
[CLS] The movie opens this weekend and the companion game has been on sale since late last month. [SEP] The movie opened over the weekend in the number one spot and the companion game has been on sale since late last month.,0
"[CLS] Financial terms of the deal, expected to close this month, were not released. [SEP] Financial terms of the sale, which is expected to be completed by the end of August, were not disclosed.",1
[CLS] Tight media controls and the remote location of the northern village where the fighting broke out made it impossible to confirm what happened. [SEP] Tight media controls and the remote location of the clash made it impossible to confirm what happened.,1
"[CLS] ""They did not read footnotes in a 90-page document,"" said the official, referring to the section that contained the State Department's dissent. [SEP] ""They did not read footnotes in a 90-page document,"" he said, referring to the annex.",1
